"Airport ID","Name","City","Country","IATA","ICAO","Latitude","Longitude","Altitude","Timezone","DST","Tz database time zone","Type","Source","Change","Percentage","Increase/Decrease"
86,"Alert Airport","Alert","Canada","YLT","CYLT",82.51779937740001,-62.280601501499994,100,"-5","A","America/Toronto","airport","OurAirports",144.7984008789,624.5607685587373,"Increase"
87,"Kelowna International Airport","Kelowna","Canada","YLW","CYLW",49.9561004639,-119.377998352,1421,"-8","A","America/Vancouver","airport","OurAirports",169.3340988159,1197.1696415846495,"Increase"
88,"Mayo Airport","Mayo","Canada","YMA","CYMA",63.61640167236328,-135.86799621582028,1653,"-8","A","America/Vancouver","airport","OurAirports",199.48439788818357,1361.8157006257063,"Increase"
89,"Moose Jaw Air Vice Marshal C. M. McEwen Airport","Moose Jaw","Canada","YMJ","CYMJ",50.330299377441406,-105.55899810791016,1892,"-6","N","America/Regina","airport","OurAirports",155.88929748535156,1058.6873061380345,"Increase"
90,"Fort McMurray Airport","Fort Mcmurray","Canada","YMM","CYMM",56.653301238999994,-111.22200012200001,1211,"-7","A","America/Edmonton","airport","OurAirports",167.875301361,1115.1832054409297,"Increase"
91,"Moosonee Airport","Moosonee","Canada","YMO","CYMO",51.291099548339844,-80.60780334472656,30,"-5","A","America/Toronto","airport","OurAirports",131.8989028930664,808.6496083219427,"Increase"
92,"Maniwaki Airport","Maniwaki","Canada","YMW","CYMW",46.272800445600005,-75.9906005859,656,"-5","A","America/Toronto","airport","OurAirports",122.2634010315,762.5482362806325,"Increase"
93,"Montreal International (Mirabel) Airport","Montreal","Canada","YMX","CYMX",45.679501,-74.038696,270,"-5","A","America/Toronto","airport","OurAirports",119.718197,743.0077897897125,"Increase"
94,"Natashquan Airport","Natashquan","Canada","YNA","CYNA",50.18999862670898,-61.78919982910156,39,"-5","A","America/Toronto","airport","OurAirports",111.97919845581055,620.1231041192636,"Increase"
95,"Ottawa / Gatineau Airport","Gatineau","Canada","YND","CYND",45.5217018127,-75.5635986328,211,"-5","A","America/Toronto","airport","OurAirports",121.0853004455,758.2959330264715,"Increase"
96,"Matagami Airport","Matagami","Canada","YNM","CYNM",49.76169967651367,-77.80280303955078,918,"-5","A","America/Toronto","airport","OurAirports",127.56450271606445,780.5915381443452,"Increase"
97,"Old Crow Airport","Old Crow","Canada","YOC","CYOC",67.57060241699219,-139.83900451660156,824,"-8","A","America/Vancouver","airport","OurAirports",207.40960693359375,1401.4595694785803,"Increase"
98,"CFB Cold Lake","Cold Lake","Canada","YOD","CYOD",54.40499877929688,-110.27899932861328,1775,"-7","A","America/Edmonton","airport","OurAirports",164.68399810791016,1105.816994514016,"Increase"
99,"High Level Airport","High Level","Canada","YOJ","CYOJ",58.62139892578125,-117.16500091552734,1110,"-7","A","America/Edmonton","airport","OurAirports",175.7863998413086,1174.6486820471275,"Increase"
100,"Ottawa Macdonald-Cartier International Airport","Ottawa","Canada","YOW","CYOW",45.3224983215332,-75.66919708251953,374,"-5","A","America/Toronto","airport","OurAirports",120.99169540405273,759.3615433307906,"Increase"
101,"Prince Albert Glass Field","Prince Albert","Canada","YPA","CYPA",53.214199066199996,-105.672996521,1405,"-6","N","America/Regina","airport","OurAirports",158.88719558719998,1059.7157697203627,"Increase"
102,"Peace River Airport","Peace River","Canada","YPE","CYPE",56.226898,-117.446999,1873,"-7","A","America/Edmonton","airport","OurAirports",173.673897,1177.5587945255493,"Increase"
103,"Southport Airport","Portage-la-prairie","Canada","YPG","CYPG",49.903099,-98.27381700000001,885,"-6","A","America/Winnipeg","airport","OurAirports",148.176916,985.707462868966,"Increase"
104,"Pitt Meadows Airport","Pitt Meadows","Canada","\N","CYPK",49.21609878540039,-122.70999908447266,11,"-8","A","America/Vancouver","airport","OurAirports",171.92609786987305,1230.5932806851004,"Increase"
105,"Pickle Lake Airport","Pickle Lake","Canada","YPL","CYPL",51.4463996887207,-90.21420288085938,1267,"-5","A","America/Coral_Harbour","airport","OurAirports",141.66060256958008,904.8955859754063,"Increase"
